Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Europe,Western and Central Europe,Andorra,Offences related to drug trafficking,2020,All illicit drugs,22.0,18.0,4.0,,22.0,0.0,
Europe,Western and Central Europe,Andorra,Offences related to drug use and/or drug possession,2020,All illicit drugs,86.0,79.0,7.0,,86.0,0.0,
Americas,South America,Argentina,Offences related to drug trafficking,2020,All illicit drugs,9135.0,7121.0,2014.0,,8826.0,248.0,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2020,All illicit drugs,63268.0,57102.0,6166.0,,59915.0,2503.0,
Africa,North Africa,Algeria,Offences related to drug trafficking,2020,All illicit drugs,22728.0,22372.0,356.0,,22312.0,416.0,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2020,All illicit drugs,41546.0,41214.0,332.0,,40998.0,548.0,
Africa,North Africa,Algeria,Other drug-related offences,2020,All illicit drugs,47.0,47.0,,,47.0,,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2020,All illicit drugs,490.0,469.0,21.0,,486.0,4.0,
Europe,South-Eastern Europe,Bulgaria,Other drug-related offences,2020,All illicit drugs,10722.0,9447.0,,,,,
Europe,Western and Central Europe,Czechia,Offences related to drug trafficking,2020,All illicit drugs,2567.0,2158.0,409.0,,2464.0,103.0,
Europe,Western and Central Europe,Czechia,Offences related to drug use and/or drug possession,2020,All illicit drugs,5690.0,5037.0,653.0,,5379.0,311.0,
Europe,Western and Central Europe,Czechia,Other drug-related offences,2020,All illicit drugs,4.0,2.0,2.0,,4.0,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2020,All illicit drugs,70.0,58.0,12.0,,70.0,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2020,All illicit drugs,822.0,667.0,155.0,,809.0,13.0,
Americas,South America,Chile,Offences related to drug trafficking,2020,All illicit drugs,18.664,14.394,4.27,,18.02,644.0,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2020,All illicit drugs,13.606,11.923,1.683,,13.101,505.0,
Americas,South America,Chile,Other drug-related offences,2020,All illicit drugs,3.577,2.809,768.0,,3.485,92.0,
Africa,North Africa,Egypt,Offences related to drug trafficking,2020,All illicit drugs,62076.0,,,,,,
Africa,North Africa,Egypt,Offences related to drug use and/or drug possession,2020,All illicit drugs,62076.0,,,,61390.0,686.0,
Europe,Western and Central Europe,Finland,Offences related to drug trafficking,2020,All illicit drugs,13517.0,11647.0,1870.0,,13087.0,428.0,
Europe,Western and Central Europe,Finland,Offences related to drug use and/or drug possession,2020,All illicit drugs,22759.0,19443.0,3316.0,,21593.0,1165.0,
Europe,Western and Central Europe,Finland,Other drug-related offences,2020,All illicit drugs,45.0,42.0,3.0,,45.0,0.0,
Americas,Central America,Nicaragua,Offences related to drug trafficking,2020,All illicit drugs,705.0,609.0,96.0,,705.0,,
Americas,Central America,Nicaragua,Offences related to drug use and/or drug possession,2020,All illicit drugs,2207.0,1994.0,213.0,,2207.0,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2020,All illicit drugs,1033.0,964.0,69.0,,968.0,65.0,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2020,All illicit drugs,1795.0,1727.0,68.0,,1630.0,165.0,
Americas,Central America,El Salvador,Other drug-related offences,2020,All illicit drugs,26.0,24.0,2.0,,25.0,1.0,
Americas,Central America,Honduras,Offences related to drug trafficking,2020,All illicit drugs,3906.0,,,,,,
Europe,Western and Central Europe,Hungary,Offences related to drug trafficking,2020,All illicit drugs,1340.0,1111.0,229.0,,,,
Europe,Western and Central Europe,Hungary,Offences related to drug use and/or drug possession,2020,All illicit drugs,6370.0,5703.0,667.0,,,,
Asia,East and South-East Asia,Indonesia,Offences related to drug trafficking,2020,All illicit drugs,40928.0,,,,,,
Asia,East and South-East Asia,Indonesia,Offences related to drug use and/or drug possession,2020,All illicit drugs,17836.0,,,,,,
Asia,Near and Middle East/ South-West Asia,Iraq,Offences related to drug trafficking,2020,All illicit drugs,2978.0,2978.0,0.0,,2948.0,30.0,
Asia,Near and Middle East/ South-West Asia,Iraq,Offences related to drug use and/or drug possession,2020,All illicit drugs,4069.0,3979.0,90.0,,3869.0,200.0,
