"AMPHETAMINES
(includes both amphetamine and methamphetamine)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country/Territory,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,North Africa,Algeria,0.03,,,0.06,0.01,2010,12+,ARQ,HHS ,,
,,Egypt,0.48,0.43,0.52,,,2006,15-64,Govt; Academic Research,"HHS, SS","a, b, d",
,Southern Africa,South Africa,1.02,0.75,1.37,,,2008,15-64,ARQ,HHS,"a, e",
,,Zambia,0.1,,,,,2003,15-64,UNODC Estimate,,,
,West and Central Africa,Côte d'Ivoire,0.61,0.31,0.9,,,2017,15-64,UNODC Estimate,SS,d,Methamphetamine
,,Nigeria,0.09,0,1,,,2017,15-64,Government/UNODC,HHS/I,,Methamphetamine
,,Nigeria,1.4,0.71,2.01,,,2008,15-64,ARQ,HHS,"a, b, e",
,,Nigeria,1.05,,,,,1999,,UNODC Estimate ,,,
Americas,Caribbean,Bahamas,0.43,0.13,1.06,,,2008,15-64,ARQ,SS,"d, e",
,,Bahamas,0.29,,,,,2003,15-64,UNODC Estimate ,,"d, e ",
,,Barbados,0.2,,,,,2006,12-65,CICAD,HHS,z,
,,Dominican Republic,0.95,0.04,2.59,,,2008,15-64,ARQ,SS,"d, e, z",
,,Dominican Republic,1.1,,,,,2003,15-64,UNODC Estimate ,,"d, e ",
,,Grenada,0.7,,,,,2005,15-64,ARQ,,,
,,Haiti,6.1,,,6.7,5.7,2018,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Jamaica,0.81,0.13,1.5,,,2010,15-64,ARQ,SS,"d, e",
,,Jamaica,1.14,0.39,1.91,,,2006,15-64,Government source ,SS ,"d, e ",
,,Puerto Rico,0.43,0.13,1.06,,,2005,15-64,Government source,SS,"d, e",
,,Trinidad and Tobago,0.7,0.23,1.38,,,2006,15-64,UNODC Estimate,SS,"d, e, z",
,,Trinidad and Tobago,0.78,,,,,2002,15-64,UNODC Estimate ,,"d, e ",
,Central America,Belize,1.35,,,,,2005,12-65,CICAD,HHS,z,
,,Costa Rica,0,,,0,0,2015,12-70,ARQ,HHS,,Amphetamine and methamphetamine
,,El Salvador,0.38,0.24,0.54,0.54,0.23,2014,12-65,Government Source,HHS,z**,Includes prescription stimulants
,,Guatemala,0.91,,,,,2005,15-64,UNODC Estimate,,"d, e",
,,Honduras,0.84,,,,,2005,15-64,UNODC Estimate,,"d,e",
,,Nicaragua,0.76,,,,,2003,15-64,UNODC Estimate,,d,
,,Panama,1.2,,,,,2003,12-65,CICAD,HHS,z,
,North America,Bermuda,0.1,0,0.1,,,2009,16-65,Government source,HHS,,
,,Canada,0.5,0.2,0.7,0.8,0.1,2019,15+,ARQ/Government source,HHS,,Amphetamine and methamphetamine
,,Canada,0.4,,,,0.08,2017,15+,ARQ,HHS,,Amphetamine
,,Canada,0.25,,,,,2015,15-64,ARQ,HHS,,Amphetamine
,,Canada,0.2,,,0.2,0.2,2013,15-64,ARQ,HHS,z*,Amphetamine/methamphetamine
,,Canada,1.6,,,2.1,1.1,2012,15-64,ARQ,HHS,z*,Includes prescription stimulants
,,Canada,1.2,,,1.5,0.9,2011,15-64,ARQ,HHS,z*,Includes prescription stimulants
,,Canada,0.5,,,,,2010,15-64,ARQ ,HHS ,,
,,Mexico,0.3,0.2,0.4,,,2016,12-65,ARQ/UNODC Estimate,HHS,,Amphetamine and methamphetamine
,,Mexico,0.12,0.04,0.19,0.2,0.1,2011,12-65,Government Source,HHS,,
,,Mexico,0.02,,,,,2008,12-65,Government source,HHS,,
,,United States of America,5.6499999999999995,5.1,6.199999999999999,5.85,5.55,2020,15-64,ARQ/UNODC Estimates,HHS,,Amphetamine and methamphetamine
,,United States of America,3.3,,,3.6,2.8,2018,15-64,ARQ,HHS,,Includes methamphetamine and prescription stimulants
,,United States of America,3.1,2.7,3.5,,,2017,15-64,UNODC Estimate/ARQ,HHS,z*,Includes methamphetamine and prescription stimulants
,,United States of America,2.95,2.6,3.3,,,2016,15-64,UNODC Estimate,HHS,z*,Includes methamphetamine and prescription stimulants
,,United States of America,2.9,2.5,3.3,,,2015,15-64,UNODC Estimate,HHS,z*,Includes methamphetamine and prescription stimulants
,,United States of America,1.7,,,,,2014,15-64,Government,,,
