CANNABIS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country/Territory,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Kenya,1.2,,,2.1,0.3,2016,15-64,ARQ,HHS,,
,,Kenya,2.1,0.3,4,,,2007,15-65,Govt,HHS,"b, e",
,,Kenya,7.1,,,,,2004,15-64,"ARQ, NGO, Council of Europe ","SS, A ","c, d, e, f ",
,,Madagascar,9.1,,,,,2004,15-64,ARQ,"SS, A","d, e",
,,Mauritius,1.08,,,,,2009,15-54,Government source,,a,
,,Mauritius,3.9,,,,,2004,15-54,ARQ ,,,
,North Africa,Algeria,0.52,,,1.06,0.03,2010,12+,ARQ,HHS,,
,,Egypt,5.31,,,,,2016,15-64,MedSPAD/UNODC estimate ,SS,d,
,,Egypt,6.24,2.9,9.58,,,2006,15-64,Govt; Academic Research,"HHS, SS","a, d",
,,Morocco,10.47,,,,,2017,15-64,MedSPAD/UNODC estimate ,SS,d,
,,Morocco,4.22,,,,,2004,15-64,ARQ,HHS ,,
,,Tunisia,5.35,,,,,2017,15-64,MedSPAD/UNODC estimate ,SS,d,
,,Tunisia,2.6,,,,,2013,15-64,ARQ,HHS,,
,Southern Africa,South Africa,3.65,2.88,4.42,,,2011,15-64,ARQ,SS,"d, e",
,,South Africa,4.26,3.52,6.18,,,2008,15-64,ARQ ,HHS ,"a, e ",
,,Zambia,9.5,4,15.6,,,2004,15-64,Govt; Academic Research,SS,"d, e",
,,Zambia,17.7,,,,,2003,,UNODC Estimate ,,,
,West and Central Africa,Burkina Faso,2.9,,,,,2006,15-64,UNODC Estimate,,"d, e",
,,Cabo Verde,2.4,,,,,2012,15-64,UNODC/Govt.,HHS,,
,,Cabo Verde,8.1,,,,,2004,15-64,UNODC Estimate,,"d, e",
,,Côte d'Ivoire,3.24,1.99,4.3,,,2017,15-64,Government/UNODC Estimate,SS,d,
,,Liberia,7.52,,,,,2017,15-64,WHO GSHS/UNODC Estimate,SS,"d, e",
,,Liberia,3.18,1.53,4.83,,,2008,15-64,UNODC Estimate,,"a, b, e",
,,Nigeria ,10.76,10.26,11.26,18.8,2.6,2017,15-64,Government/UNODC,HHS/I,,
,,Nigeria,14.3,11.76,16.84,,,2008,15-64,ARQ,HHS,"a, b, e",
,,Sierra Leone,6.48,,,,,2017,15-64,WHO GSHS/UNODC Estimate,SS,"d, e",
,,Sierra Leone,5.42,3.52,7.32,,,2010,15-64,UNODC Estimate,,"a, b, e",
,,Togo,1,0.2,3.1,,,2009,15-64,UNODC Estimate,SS,"d, e",
,,Togo,2.73,,,,,2006,15-64,UNODC Estimate ,SS ,"d, e ",
Americas,Caribbean,Bahamas,3.1,,,5,1,2017,12-65,ARQ,HHS,,
,,Bahamas,5.54,3.2,7.89,,,2008,15-64,ARQ,SS,"d, e",
,,Bahamas,4.7,,,,,2003,15-64,UNODC Estimate ,SS ,"d, e ",
,,Barbados,8.3,,,,,2006,15-64,CICAD,HHS,,
,,Dominican Republic,0.68,,,1.4,0.22,2010,12-65,CICAD,HHS,,
,,Dominican Republic,0.31,0.25,1.41,,,2008,15-64,ARQ,SS,"d, e",
,,Haiti,2.5,,,2.3,2.7,2018,15-64,ARQ,HHS,,
,,Haiti,1.51,0.26,2.75,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Haiti,1.41,0.43,2.15,,,2005,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,18,,,28.5,7.8,2016,12-65,Government source,HHS,,Cannabis herb
,,Jamaica,7.21,4.25,10.17,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,9.86,7.52,12.2,,,2006,15-64,Government source,SS,"d, e",
,,Jamaica,10.7,,,,,2001,12-55,UNODC Estimate ,,e ,
,,Puerto Rico,4.88,3.1,6.65,,,2005,15-64,Government source,SS,"d, e",
,,Saint Lucia,8.87,5.64,12.1,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Saint Lucia,9,,,,,2006,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,4.788,1.396,8.179,,,2017,15-64,WHO GSHS/UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,4.03,1.55,6.52,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,4.66,2.91,6.42,,,2006,15-64,Government source,SS,"d, e",
