"COCAINE
(includes cocaine salt, ""crack"" cocaine and other types such as coca paste, cocaine base, basuco, paco and merla)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country/Territory,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Kenya,0.1,,,0.2,0,2016,15-64,ARQ,HHS,,Crack
,,Kenya,0.3,0.2,0.4,,,2007,15-65,Government source,HHS,"b, e",
,North Africa,Algeria,0.01,,,0.02,,2010,12+,ARQ,HHS,,
,,Egypt,0.35,,,,,2016,15-64,MedSPAD/UNODC Estimate,SS,d,
,,Egypt,0.02,,,,,2006,15-64,Government source; Academic Research,"HHS, SS","a, d",
,,Morocco,0.43,0.33,0.52,,,2017,15-64,MedSPAD/UNODC Estimate,SS,d,"Includes cocaine salts and ""crack"" "
,,Morocco,0.05,,,,,2004,15-64,ARQ,,,
,,Tunisia,0.1,,,,,2017,15-64,MedSPAD/UNODC Estimate,SS,d,
,Southern Africa,South Africa,1.02,0.29,1.1,,,2011,15-64,ARQ,SS,"d, e",
,,South Africa,0.78,0.64,1.17,,,2008,15-64,ARQ ,HHS ,"a, e ",
,West and Central Africa,Cabo Verde,0.2,,,,,2012,15-64,UNODC/Government source,HHS,,
,,Cabo Verde,0.23,,,,,2004,15-64,UNODC Estimate,,"d, e",
,,Côte d'Ivoire,0.59,0.49,0.78,,,2017,15-64,Government source/UNODC Estimate,SS,d,"Includes cocaine salts and ""crack"" "
,,Nigeria,0.09,0,0.24,,,2017,15-64,Government source/UNODC,HHS/I,,
,,Nigeria,0.7,0.28,1.11,,,2008,15-64,ARQ,HHS,"a, b, e",
Americas,Caribbean,Bahamas,0.05,0.02,0.1,0.1,0,2017,12-65,Government source,HHS,,
,,Barbados,0.4,,,,,2006,15-64,CICAD,HHS,,
,,Dominican Republic,0.32,0.28,0.35,,,2010,12-65,CICAD,HHS,,
,,Dominican Republic,0.3,0.13,0.57,,,2008,15-64,ARQ,SS,"d, e",
,,Haiti,0.2,,,0.3,0.1,2018,15-64,ARQ,HHS,,
,,Haiti,0.88,0.34,1.42,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Haiti,0.9,,,,,2005,15-64,UNODC Estimate,,,
,,Jamaica,0.98,0.39,1.56,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,1.1,,,,,2006,15-64,UNODC Estimate,SS,"a, d",
,,Puerto Rico,0.83,0.34,1.39,,,2005,15-64,Government source,SS,"d, e",
,,Saint Lucia,0.6,0.19,1.02,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Saint Lucia,1,,,,,2002,15-64,UNODC Estimate,,,
,,Trinidad and Tobago,0.48,0.11,0.84,,,2010,15-64,UNODC Estimate,SS,"d, e",
,Central America,Belize,0.85,,,,,2005,12-65,UNODC Estimate,HHS,,
,,Costa Rica,1.23,,,1.95,0.49,2015,12-70,ARQ,HHS,,Cocaine
,,Costa Rica,1.33,,,2.16,0.5,2015,15-64,ARQ,HHS,,"Includes cocaine salts and ""crack"" "
,,Costa Rica,1.06,,,1.73,0.38,2010,15-64,ARQ,HHS,,
,,Costa Rica,0.31,0.23,0.38,,,2006,12-70,ARQ ,HHS ,,
,,El Salvador,0.37,0.27,0.47,0.73,0.11,2014,12-65,UNODC Estimate/ Government source,HHS,,Cocaine salts and crack
,,El Salvador,0.41,,,,,2005,12-65,ARQ,HHS,,
,,Guatemala,1.247,0.395,2.1,,,2014,15-64,Government source/UNODC Estimate,SS,d,Cocaine salts and crack
,,Guatemala,0.21,,,,,2005,15-64,ARQ,HHS,,
,,Honduras,0.87,,,,,2005,12-35,ARQ,,,
,,Nicaragua,0.69,0.52,0.86,,,2006,12-65,UNODC Estimate,HHS,c,
,,Panama,0.1,,,,,2015,12-65,ARQ/Government source,HHS,,Urban areas
,,Panama,1.2,,,,,2003,12-65,Government source,HHS,,
,North America,Bermuda,1.3,1,1.6,,,2009,16-65,Government source,HHS,,
,,Canada,2,1.4,2.5,2.4,1.5,2019,15+,ARQ/Government source,HHS,,"Cocaine salts and ""crack"" cocaine"
,,Canada,2.5,,,3.7,1.3,2017,15+,ARQ,HHS,,
,,Canada,1.47,,,1.83,1.12,2015,15-64,ARQ,HHS,,
,,Canada,1.1,,,1.6,0.6,2013,15-64,ARQ,HHS,,
,,Canada,1.3,,,1.7,,2012,15-64,ARQ,HHS,,
