Country Code,Total graduates ISCED 5-7,Total graduates at ISCED 8
AD,91,0
AD,m,m
AL,7998,171
AL,2174,25
AL,1962,28
AL,2687,0
AL,1841,0
AL,515,a
AL,1286,0
AL,1517,1
AL,2233,0
AL,333,a
AL,488,0
AL,1491,8
AL,111,0
AL,1387,0
AL,248,0
AL,1318,16
AL,399,a
AL,270,0
AL,362,2
AL,1273,a
AL,8,a
AL,444,a
AL,20,a
AL,235,a
AL,0,0
AL,92,a
AL,5,a
AL,351,a
AL,84,a
AL,146,a
AL,26,a
AL,105,a
AL,77,a
AL,237,a
AL,174,a
AL,266,a
AL,72,a
AL,163,a
AL,173,a
AL,0,43
AL,24,a
AT,10422,582833333,374,5
AT,3298,564783334,154,5
AT,3919,3734750000003,241,9
AT,1971,2111415529998,116,5
AT,2801,292,5
AT,1650,574,187
AT,484,5,72
AT,1382,25,131,5
AT,249,59,50
AT,3542,5,86
AT,1854,4066084469998,109,6
AT,1040,43535,42
AT,1017,5,5
AT,761,154,5
AT,414,83625,39,5
AT,322,41
AT,112,8
AT,226,5,12
AT,304,90999999999997,3
AT,294,738516667,5,5
AT,199,43665,10
AT,169,926,10
AT,23,1
AT,268,9
AT,498,66666666699996,12
AT,121,a
AT,128,0
AT,159,a
AT,135,a
AT,731,5,8,5
AT,158,5,0
AT,155,0
AT,31,724,a
AT,92,36200000000001,a
AT,255,570458686,a
AT,253,17499999999998,a
AT,239,935,a
AT,169,00400000000002,a
AT,325,45365000000004,a
AT,103,78290000000001,a
AT,175,52765,a
AT,49,213025,a
AT,106,32000000000001,a
AT,399,593967788,a
AT,468,336073526,a
AT,86,5,a
AT,1101,a
AT,839,a
AT,859,a
AT,378,a
AT,530,5,a
AT,969,5,a
AT,69,a
AT,623,a
AT,1705,5,a
AT,1799,8333333330002,a
AT,79,a
AT,227,5,a
AT,186,a
AT,1250,5,a
AT,416,5,a
AT,1193,a
AT,955,a
AT,1153,a
AT,652,5,a
AT,1378,833333333,a
AT,335,5,0
AT,228,a
AT,122,a
AT,19,a
AT,0,a
AT,0,a
BE,1419,50
BE,851,8
BE,8887,318
BE,5857,220
BE,1872,72
BE,7848,223
BE,854,a
BE,409,a
BE,584,a
BE,641,a
BE,452,a
BE,1754,a
BE,307,a
BE,446,a
BE,849,a
BE,472,a
BE,991,a
BE,1726,a
BE,602,a
BE,1645,a
BE,2052,a
BE,290,a
BE,1650,a
BE,40,a
BE,158,a
BE,118,a
BE,200,a
BE,116,a
BE,17,a
BE,123,a
BE,192,a
BE,44,a
BE,279,a
BE,78,a
BE,164,a
