"""ECSTASY""-TYPE SUBSTANCES",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country/Territory,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Kenya,0.25,0.2,0.3,,,2007,15-65,Government source,HHS,"b, e",
,North Africa,Algeria,0.02,,,0.02,0.01,2010,12+,ARQ,HHS,,
,Southern Africa,South Africa,0.31,0.24,0.38,,,2011,15-64,ARQ,SS,"b, d, e",
,,South Africa,0.4,,,,,2004,15-64,UNODC Estimate ,,"d, e ",
,,Zambia,0.3,,,,,2003,15-64,UNODC Estimate,,"e, f",
,West and Central Africa,Cabo Verde,0.06,,,,,2004,15-64,UNODC Estimate,,d,
,,Nigeria,0.34,0,1.25,,,2017,15-64,Government/UNODC,HHS/I,,
Americas,Caribbean,Bahamas,0.11,0.04,0.6,,,2008,15-64,Government source,SS,"d, e",
,,Bahamas,0.14,,,,,2003,15-64,UNODC Estimate ,,"d, e ",
,,Barbados,0.3,,,,,2006,12-65,CICAD,HHS,,
,,Dominican Republic,0.23,,,,,2010,12-65,CICAD,HHS,,
,,Dominican Republic,0.05,0.02,0.52,,,2008,15-64,Government source,SS,"d, e",
,,Dominican Republic,0.16,,,,,2000,15-64,UNODC Estimate ,,"d, e ",
,,Haiti,0.24,0.06,0.41,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Haiti,0.56,0.11,1.17,,,2005,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,0.23,0.06,0.4,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Puerto Rico,0.42,0.09,0.99,,,2005,15-64,Government source,SS,,
,,Saint Lucia,0.17,0.03,0.3,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,0.14,0.02,0.26,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,0.13,0.04,0.62,,,2006,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,0.11,,,,,2005,15-64,UNODC Estimate ,,,
,Central America,Belize,0.5,,,,,2005,12-65,Government source,HHS,,
,,Costa Rica,0.42,,,0.57,0.27,2015,12-70,ARQ,HHS,,
,,Costa Rica,0.46,,,0.63,0.29,2015,15-64,ARQ,HHS,,
,,Costa Rica,0.2,,,0.32,0.07,2010,15-64,ARQ,HHS,,
,,Costa Rica,0.15,0.11,0.38,,,2006,12-70,ARQ,SS,"d, e",
,,El Salvador,0.02,,,0.04,0,2014,12-65,Government source,HHS,,
,,El Salvador,0.02,0,0.03,,,2005,15-64,UNODC Estimate,HHS,"a, e",
,,Guatemala,0.08,,,,,2005,15-64,UNODC Estimate,,,
,,Honduras,0.08,,,,,2005,15-64,UNODC Estimate,,d,
,,Nicaragua,0.01,0,0.02,,,2006,12-65,UNODC Estimate,"HHS, c",e,
,,Panama,0.04,,,,,2015,12-65,ARQ,HHS,,Urban areas
,,Panama,0.4,,,,,2003,15-64,UNODC Estimate,,d,
,North America,Canada,1.1,0.7,1.6,1.3,1,2019,15+,ARQ/Government source,HHS,,
,,Canada,0.9,,,1.2,0.6,2017,15+,ARQ,HHS,,
,,Canada,0.91,,,1.17,0.64,2015,15-64,ARQ,HHS,,
,,Canada,0.5,,,0.8,0.2,2013,15-64,ARQ,HHS,,
,,Canada,0.8,,,,,2012,15-64,ARQ,HHS,,
,,Canada,0.8,,,,,2011,15-64,ARQ,HHS,,
,,Canada,0.88,,,,,2010,15-64,ARQ ,HHS ,,
,,Mexico,0.1,,,,,2011,12-65,Government source,HHS,,
,,United States of America,1.2,,,1.3,1.1,2020,15-64,ARQ,HHS,,
,,United States of America,1.2,,,1.4,1,2018,15-64,ARQ,HHS,,
,,United States of America,1.2,,,1.4,0.9,2017,15-64,ARQ,HHS,,
,,United States of America,1.2,,,1.4,0.9,2016,15-64,ARQ,HHS,,
,,United States of America,1.2,,,1.6,0.9,2015,15-64,ARQ,HHS,,Data not directly comparable to previous years.
,,United States of America,1.1,,,1.4,0.9,2014,15-64,ARQ,HHS,,
,,United States of America,1.2,,,1.5,1,2013,15-64,ARQ,HHS,,
,,United States of America,1.2,,,,,2012,15-64,ARQ,HHS,,
,,United States of America,1.2,,,,,2011,15-64,ARQ,HHS,,
,,United States of America,1.3,,,,,2010,15-64,ARQ,HHS,,
,South America,Argentina,0.33,,,0.46,0.22,2017,15-64,ARQ,HHS,,
