"TIME","GEO","UNIT","ISCEDF13","ISCED11","SEX","Value","Flag and Footnotes"
"2012","European Union - 27 countries (from 2020)","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Master's or equivalent level","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Master's or equivalent level","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Doctoral or equivalent level","Total","208,500",""
"2012","France","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","France","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","France","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","France","Number","Total","Master's or equivalent level","Total",":",""
"2012","France","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","France","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","France","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Italy","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Italy","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Italy","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Italy","Number","Total","Master's or equivalent level","Total",":",""
"2012","Italy","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Italy","Number","Total","Master's or equivalent level - professional","Total",":",""
