"OPIATES 
(also includes problem opiate users)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country/Territory,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Kenya,0.22,,,,,2012,15-64,Government report,I,,Problem opiate users
,,Kenya,0.73,,,,,2004,15-64,Reference Group to the UN on HIV and IDU ,I ,"c, i ",
,,Mauritius,0.7785745190355908,,,,,2017,15-64,ARQ/UNODC Estimates,I,,Problem heroin users
,,Mauritius,0.91,,,,,2007,15-54,ARQ ,I ,,
,,Rwanda,0.14,,,,,2004,15-64,Cure Research estimate,,,Opiates
,,Seychelles,2.3,,,,,2011,15-64,Government source,,,Opiates
,,Somalia,0.16,,,,,2004,15-64,Cure Research estimate,,,Opiates
,,Uganda,0.05,,,,,2004,15-64,Cure Research estimate,,,Opiates
,North Africa,Algeria,0.06,0.05,0.06,0.11,0.01,2010,12+,ARQ,HHS,,Opium and heroin
,,Algeria,0.12,,,,,2004,15-64 ,UNODC Estimate ,,,Opiates
,,Egypt,1.76,1.39,2.14,,,2016,15-64,MedSPAD/UNODC Estimate,SS,d,Opium and heroin
,,Egypt,0.44,0.14,0.73,,,2006,15-64,Govt; Academic Research,"HHS, SS","a, d",Opiates
,,Libya,0.14,,,,,2004,15-64,UNODC Estimate,,,Opiates
,,Morocco,0.71,,,,,2017,15-64,MedSPAD/UNODC Estimate,SS,,Heroin
,,Morocco,0.01,,,,,2014,15-64,UNAIDS/GARPR,I,,People who inject drugs
,,Morocco,0.08,,,,,2011,15-64,Government report,I,,People who inject drugs
,,Morocco,0.02,,,,,2004,15-64,ARQ ,,,Opiates
,,Tunisia,0.12,,,,,2011,15-64,Government report,I,,Problem opiate users
,Southern Africa,Eswatini,0.17,,,,,2004,15-64,Cure Research estimate,,,Opiates
,,South Africa,0.41,,,,,2008,15-64,ARQ,HHS,,Opiates
,,Zambia,0.37,,,,,2003,15-64,UNODC Estimate,,,Opiates
,,Zimbabwe,0.04,,,,,2004,15-64,Cure Research estimate,,,Opiates
,West and Central Africa,Cabo Verde,0.18,,,,,2004,15-64,UNODC Estimate,,,Opiates
,,Central African Republic,0.05,,,,,2004,15-64,Cure Research estimate,,,Opiates
,,Chad,0.22,,,,,2004,15-64,Cure Research estimate,,,Opiates
,,Côte d'Ivoire,0.9,0.86,0.94,,,2017,15-64,Government source/UNODC Estimate,SS,d,"Opium, heroin, morphine"
,,Congo,0.13,,,,,2004,15-64,Cure Research estimate,,,Opiates
,,Democratic Republic of the Congo,0.13,,,,,2004,15-64,Cure Research estimate,,,Opiates
,,Ghana,0.14,,,,,2004,15-65,Cure Research estimate,,,Opiates
,,Liberia,0.17,,,,,2004,15-64,Cure Research estimate,,,Opiates
,,Niger,0.2,,,,,2004,15-64,Reference Group to the UN on HIV and IDU,I,,Problem opiate users
,,Nigeria,0.09,0,0.21,,,2017,15-64,Government/UNODC,HHS/I,,Heroin
,,Nigeria,0.7,0.3,1,,,2008,15-64,UNODC Estimate,,,Opiates
,,Senegal,0.08,,,,,2006,15-64,UNODC Estimate,SS,"a, d, e ",Opiates
,,Sierra Leone,0.17,,,,,2004,15-64,Cure Research estimate,,,Opiates
Americas,Caribbean,Bahamas,0.22,,,,,2003,15-64,UNODC Estimate,,,
,,Barbados,0.11,0.1,0.13,,,2006,15-64,UNODC Estimate,,,Opiates
,,Dominican Republic,0.07,0.05,0.09,,,2008,15-64,UNODC Estimate,SS,d,
,,Dominican Republic,0.11,,,,,2001,15-64,UNODC Estimate ,,,
,,Haiti,0.07,,,,,2006,15-64,ARQ,SS,"a, d, e",
,,Jamaica,0.7,0.3,1.1,,,2006,15-64,UNODC Estimate,SS,"d,e, x",Opiates
,,Jamaica,0.1,,,,,2001,15-64,UNODC Estimate ,,,
,Central America,Belize,0.3,,,,,2005,12-65,CICAD/MEM,HHS,,Opiates
,,Costa Rica,0.03,,,0.06,0.01,2015,12-70,ARQ,,,Heroin
,,Costa Rica,0.04,,,0.06,0.01,2015,15-64,ARQ,HHS,,Heroin
,,Costa Rica,0,,,,,2010,12-70,ARQ,HHS,,
,,Costa Rica,0.09,,,,,2006,12-70,ARQ ,HHS ,,
,,El Salvador,0.11,,,,,2005,15-64,UNODC Estimate,HHS,e,
,,Guatemala,0.04,,,,,2005,15-65,ARQ,,,Opiates
