"OPIOIDS
(includes opiates, other illicit opioids and prescription opioids)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country/Territory,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Mauritius,1.29,,,,,2009,15-64,Government source,I,"a,x","Opioids, includes prescription opioids"
,Southern Africa,South Africa,0.5,,,,,2008,15-64,ARQ,HHS,x,Includes prescription opioids
,West and Central Africa,Democratic Republic of the Congo,0.17,,,,,2004,15-64,Cure Research estimate,,,Includes heroin and prescription opioids
,,Nigeria,4.66,4.27,5.05,,,2017,15-64,Government/UNODC,HHS/I,,Includes heroin and prescription opioids
Americas,Caribbean,Barbados,0.23,0.16,0.29,,,2006,15-64,UNODC Estimate,,x,Includes heroin and prescription opioids
,,Dominican Republic,0.14,,,,,2001,15-64,UNODC Estimate ,,,
,,Haiti,0.2,0.19,0.22,,,2006,15-64,ARQ,SS,"a, d, e, x",Includes prescription opioids
,,Jamaica,1,0.5,1.5,,,2006,15-64,UNODC Estimate,SS,"d,e",Includes prescription opioids
,Central America,Belize,0.3,,,,,2005,12-65,CICAD/MEM,HHS,,Opiates
,,Costa Rica,0.75,,,0.78,0.71,2015,12-70,ARQ,HHS,,
,,Costa Rica,0.79,,,0.83,0.75,2015,15-64,ARQ,HHS,,Includes prescription opioids
,,El Salvador,0.14,,,,,2005,15-64,UNODC Estimate,HHS,"e, x",Includes prescription opioids
,North America,Mexico,0.38,0.19,0.56,,,2011,12-65,Government source,HHS,x,include prescription opioids
,,Mexico,0.1,,,,,2008,15-64,ARQ ,HHS,,
,,United States of America ,4.56,4.38,4.74,,,2020,15-64,UNODC Estimate,HHS/I,,Opiates and prescription opioids
,,United States of America ,4.92,4.75,5.09,,,2018,15-64,UNODC Estimate,HHS/I,,Opiates and prescription opioids
,,United States of America ,5.41,5.22,5.59,,,2017,15-64,UNODC Estimate,HHS/I,,Opiates and prescription opioids
,,United States of America ,5.75,5.55,5.95,,,2016,15-64,UNODC Estimate,HHS/I,,Opiates and prescription opioids
,,United States of America ,6.13,5.95,6.31,,,2015,15-64,UNODC Estimate,HHS/I,,Opiates and prescription opioids
,,United States of America ,5.4,5.25,5.55,,,2013,15-64,UNODC Estimate,HHS/I,,Opiates and prescription opioids
,,United States of America ,6.22,6.08,6.37,,,2010,15-64,UNODC Estimate,HHS/I,,Opiates and prescription opioids
,South America,Argentina,0.19,0.13,0.26,,,2007,15-64,UNODC Estimate ,,"e, x",
,,Brazil,0.64,,,0.45,0.82,2012,15-64,Government source,HHS,,
,,Chile,1.22,,,1.41,1.04,2020,15-64,ARQ,HHS,,"Opioids, including opiates and synthetic opioids "
,,Chile,1.14,,,1.21,1.08,2018,15-64,ARQ,HHS,,Includes heroin and prescription opioids
,,Chile,1.22,,,0.94,1.5,2016,15-64,ARQ,HHS,,
,,Chile,0.58,,,0.54,0.62,2014,15-64,ARQ,HHS,x,"Opioids, includes prescription opioids"
,,Colombia,0.28,,,0.2,0.35,2019,12-65,Government source,HHS,,
,,Ecuador,0.08592116802574847,,,0.18161566613443947,0.03449748264873119,2020,15-64,ARQ/UNODC Estimates,I,,"People with drug use disorders or problem/high-risk drug use. Opioids, including opiates and synthetic opioids"
,,Ecuador,0.04,,,0,0.02,2013,12-65,ARQ,HHS,,Includes heroin and opium
,,Uruguay,4.9,,,,,2018,15-64,CICAD OAS/Governement sources,HHS,,"Opioids, includes prescription opioids"
,,Uruguay,0.18,0.05,0.3,,,2011,15-64,UNODC Estimate,HHS,"e, x",
Asia,Central Asia and Transcaucasia,Armenia,0.16,0.14,0.2,,,2009,15-64,Armenian Pubic Health Associations,I,x,Includes prescription opioids
,,Armenia,0.28,0.24,0.33,,,2007,15-64,Government source,,,
,,Armenia,0.3,,,,,2005,15-64,UNODC Estimate ,HHS ,,
,,Georgia,1.36,1.33,1.4,,,2010,15-64,SCAD Report - Academic Research,I,x,Includes prescription opioids
,,Georgia,0.58,,,,,2006,15-64,UNODC Estimate ,I,,
,,Kazakhstan,1,,,,,2006,15-64,UNODC (GAP survey),I,x,Includes prescription opioids
,,Kyrgyzstan,0.8,,,,,2006,15-64,UNODC (GAP survey),I,x,Includes prescription opioids
,,Tajikistan,0.54,,,,,2006,15-64,UNODC (GAP survey),I,x,Includes prescription opioids
,,Turkmenistan,0.32,,,,,2007,15-64,ARQ,R,,Opiates
