PRESCRIPTION OPIOIDS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country/Territory,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Mauritius,1.04,,,,,2007,15-54,ARQ ,I ,,
,North Africa,Tunisia,0.13,,,,,2013,15-64,ARQ,HHS,,
,Southern Africa,South Africa,0.09,,,,,2008,15-64,ARQ,HHS,,
,West and Central Africa,Nigeria,4.66,4.21,5.11,6,3.3,2017,15-64,Government/UNODC,HHS/I,,Includes Tramadol
,,Egypt,3,,,,,2016,15-64,Government source,HHS,,Tramadol
Americas,Caribbean,Barbados,0.16,0.12,0.21,,,2006,15-64,UNODC Estimate,,,
,,Dominican Republic,0.03,,,,,2008,15-64,UNODC Estimate,SS,d,
,,Haiti,0.13,,,,,2006,15-64,ARQ,SS,"a, d, e",
,Central America,Costa Rica,0.75,,,0.77,0.74,2015,15-64,ARQ,HHS,,
,,Costa Rica,0.71,,,0.72,0.71,2015,12-70,ARQ,HHS,,
,,Costa Rica,0.63,,,1.37,0.59,2010,15-64,ARQ,HHS,x,
,,Costa Rica,2.8,2.8,2.9,,,2006,12-70,ARQ ,HHS ,x,
,,El Salvador,0.06,,,,,2005,15-64,UNODC Estimate,HHS,e,
,North America,Canada,,,,0.5,,2017,15+,ARQ,HHS,,
,,Canada,0.36,,,0.46,,2015,15-64,ARQ,HHS,,
,,Canada,0.4,,,0.4,,2013,15-64,ARQ/Government,HHS,,*
,,Canada,1,,,1.3,,2012,15-64,ARQ,HHS,,*
,,Canada,0.3,,,,,2010,15-64,ARQ,HHS,,
,,Canada,0.5,,,,,2009,15-64,ARQ,"HHS, I x ",,
,,Mexico,0.1,,,0.1,0.1,2016,12-65,ARQ,HHS,,
,,Mexico,0.06,,,,,2008,12-65,ARQ ,HHS,,
,,United States of America,3.9,,,3.5,4.2,2020,15-64,ARQ,HHS,,Non-medical use of pharmaceutical opioids
,,United States of America,4.3,,,4.3,4.1,2018,15-64,ARQ,HHS,,
,,United States of America,4.8,,,5.4,4.2,2017,15-64,ARQ,HHS,,
,,United States of America,5.1,,,5.6,4.6,2016,15-64,ARQ,HHS,,
,,United States of America,5.5,,,6.3,4.8,2015,15-64,ARQ,HHS,,Data not directly comparable to previous years.
,,United States of America,4.8,,,,,2014,15-64,UNODC Estimate,HHS,,
,,United States of America,5,,,,,2013,15-64,UNODC Estimate,,,
,,United States of America,5.7,,,,,2012,15-64,ARQ,HHS,,
,,United States of America,5.2,,,,,2011,15-64,ARQ/UNODC Estimate,HHS,,
,,United States of America,5.7,,,,,2010,15-64,ARQ/ UNODC Estimate,HHS,a ,
,South America,Argentina,0.06,,,0.08,0.04,2011,16-65,ARQ/Government,HHS,,
,,Argentina,0.11,0.1,0.13,,,2007,15-64,UNODC Etimate,,e,
,,Brazil,0.57,,,0.45,0.69,2012,15-64,Government source,HHS,,
,,Brazil,0.4,,,,,2005,12-65,ARQ,HHS,e,
,,Chile,1.22,,,1.41,1.04,2020,15-64,ARQ,HHS,,Non-medical use of pharmaceutical opioids
,,Chile,1.14,,,1.21,1.08,2018,15-64,ARQ,HHS,,
,,Chile,1.22,,,0.94,1.5,2016,15-64,ARQ,HHS,,
,,Chile,0.56,,,0.5,0.62,2014,15-64,ARQ,HHS,,
,,Chile,0.28,,,0.24,0.32,2012,15-64,ARQ,HHS,x,
,,Chile,0.27,,,,,2010,15-64,ARQ,HHS,,
,,Chile,0.4,,,,,2008,15-64,HHS ,HHS ,,
,,Colombia,0.28,,,0.2,0.35,2019,12-65,Government source,HHS,,
,,Uruguay,0.12,0.03,0.2,,,2011,15-64,UNODC Estimate,HHS,e,
Asia,Central Asia and Transcaucasia,Armenia,0.08,,,,,2007,15-64,Government source,,,
,,Georgia,0.27,,,,,2010,15-64,SCAD/Report - Academic Research,I,,
,,Kazakhstan,0.11,,,,,2006,15-64,UNODC (GAP survey),I,,
,,Kyrgyzstan,0.06,,,,,2006,15-64,UNODC (GAP survey),I,,
,,Uzbekistan,0.02,,,,,2006,15-64,UNODC (GAP survey),I,,
,East and South-East Asia,Indonesia,0.26,,,,,2017,10-59,Government,HHS,,Estimate for 13 provinces. Tramadol only.
,,Indonesia,0.05,,,0.1,0.01,2015,10-60,ARQ,HHS,,20 of 34 provinces. Tramadol.
