"TRANQUILLIZERS and SEDATIVES
(includes barbiturates and benzodiazepines)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Annual prevalence of Use as a percentage of the population aged 15-64 (unless otherwise stated),,,,,,,,,,
Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Specific notes
Africa,East Africa,Kenya,0,0,0,2016,15-64,ARQ,HHS,
,North Africa,Algeria,0.59,0.54,0.63,2010,12+,ARQ,HHS,
,,Morocco,0.18,,,2004,15+,ARQ/Government,HHS,
,,Tunisia,0.52,,,2013,15-64,ARQ,HHS,
,West and Central Africa,Nigeria,0.487,,,2017,15-64,Government/UNODC,HHS/I,
Americas,Caribbean,Haiti,11.7,11.6,11.8,2018,15-64,ARQ,HHS,
,,Jamaica,0.1,,0.2,2001,12-55,ARQ,HHS,
,Central America,Costa Rica,2.01,1.92,2.1,2015,12-64,ARQ,HHS,
,,Costa Rica,0.74,0.73,0.74,2015,12-70,ARQ,HHS,
,,Costa Rica,1.15,1,1.31,2010,12-70,ARQ,HHS,
,,El Salvador,1.76,1.52,1.94,2014,12-65,ARQ,HHS,
,,El Salvador,1.42,,1.42,2006,12-70,ARQ,HHS,
,,Guatemala,2.9,,3.16,2005,15-64,ARQ,HHS,
,,Panama,0.75,0.67,0.82,2015,12-65,ARQ,HHS,Urban areas
,North America,Canada,0.2,0.2,,2017,15+,ARQ,HHS,
,,Canada,0.35,,,2015,15-64,ARQ,HHS,
,,Canada,0.2,,0.2,2009,15-64,ARQ,HHS,
,,Mexico,0.3,0.3,0.3,2016,12-65,ARQ,HHS,Benzodiazepines
,,Mexico,0.3,0.3,0.2,2011,12-65,ARQ,HHS,
,,Mexico,6.8,,,2008,12-65,ARQ,HHS,
,,United States of America,2.7,2.5,2.9,2020,15-64,ARQ,HHS,
,,United States of America,2.9,3,2.7,2018,15-64,ARQ,HHS,
,,United States of America,3,3.1,2.9,2017,15-64,ARQ,HHS,
,,United States of America,3.1,3,3.2,2016,15-64,ARQ,HHS,
,,United States of America,3.1,3.2,3.1,2015,15-64,ARQ,HHS,Includes benzodiazepines and barbiturates. Not directly comparable to previous years.
,,United States of America,2.6,2.7,2.5,2014,15-64,ARQ,HHS,
,South America,Argentina,0.75,0.6,0.89,2017,15-64,ARQ,HHS,
,,Argentina,1.3,1.2,1.4,2011,16-65,ARQ,HHS,
,,Argentina,1.3,1,1.6,2010,12-65,ARQ,HHS,
,,Bolivia (Plurinational State of),2.02,1.92,2.12,2018,15-64,ARQ,HHS,
,,Bolivia (Plurinational State of),1.87,2.07,1.71,2014,12-65,ARQ,HHS,
,,Bolivia (Plurinational State of),1.87,2.07,1.71,2013,12-65,ARQ,HHS,
,,Bolivia (Plurinational State of),2.05,1.97,2.11,2018,12-65,ARQ,HHS,Tranquillizers
,,Bolivia (Plurinational State of),2.6,2,3.1,2007,12-65,ARQ,HHS,
,,Brazil,5.68,3.18,8.03,2012,15-64,Government source,HHS,
,,Brazil,2.1,,,2005,15-64,ARQ,HHS,Benzodiazepines
,,Chile,2.06,2.36,1.77,2020,15-64,ARQ,HHS,
,,Chile,1.44,1.18,1.69,2018,15-64,ARQ,HHS,
,,Chile,1.77,1.54,2.01,2016,15-64,ARQ,HHS,Benzodiazepines
,,Chile,1.2,0.97,1.43,2014,15-64,ARQ,HHS,
,,Chile,1.53,1.33,1.71,2012,15-64,ARQ,HHS,
,,Colombia,0.61,0.64,0.58,2019,12-65,Government source,HHS,
,,Colombia,0.53,0.55,0.51,2013,12-65,Government source,HHS,
,,Colombia,0.52,0.52,0.52,2008,12-65,ARQ/Government,HHS,
,,Colombia,1.2,1.7,0.9,2003,18-65,ARQ/UNODC,HHS,
,,Ecuador,1.5,,,2007,12-65,ARQ,HHS,
,,Peru,1.29,1.08,1.46,2010,12-65,ARQ,HHS,
,,Peru,2.98,2.44,3.4,2006,15-74,ARQ,HHS,
,,Suriname,1.35,,,2013,12-65,UNODC Estimate/ARQ,HHS,Includes Benzodiazepines and barbiturates.
,,Uruguay,2.7,2.3,3.1,2018,15-65,ARQ,HHS,Benzodiazepines
,,Uruguay,2.2,2,2.5,2014,15-65,ARQ,HHS,Benzodiazepines
,,Uruguay,1.3,1.2,1.03,2011,15-65,ARQ,HHS,
,,Venezuela (Bolivarian Republic of),2.13,1.76,2.5,2011,12-65,ARQ,HHS,
Asia,East and South-East Asia,Indonesia,0.305,,,2019,15-64,ARQ/UNODC Estimates,HHS,Benzodiazepines and barbiturates
,,Indonesia,0.19,0.35,0.05,2015,10-60,ARQ,HHS,20 of 34 provinces. Includes benzodiazepines and barbiturates.
,,Indonesia,0.84,0.76,1.15,2012,15-60,ARQ,HHS,
,,Japan,5.6,,,2017,15-64,ARQ,HHS,
,,Japan,5.6,,,2015,15-64,ARQ,HHS,
,,Myanmar,0.13,,,2002,15-64,ARQ,HHS,
,Near and Middle East/South-West Asia,Afghanistan,1.4,1.4,1.4,2015,15+,INL,HHS,Benzodiazepines
,,Afghanistan,0.8,,0.1,2003,15-64,UNODC/ Govt. Source,HHS,
,,Israel,1,1,0.9,2016,18-65,ARQ,HHS,Benzodiazepines
,,Israel,2.79,3.1,2.67,2009,18-40,ARQ,HHS,
,,Israel,1.9,,,2005,18-40,ARQ,HHS,
,,Pakistan,1.4,1.3,1.5,2012,15-64,Government/UNODC,HHS/I,
,,Pakistan,2,,,2001,18-40,ARQ,HHS,
,South Asia,India,1.08,2.07,0.09,2018,15-64,ARQ,HHS,
,,Nepal,0.629,,,2019,15-50,Government source/UNODC Estimate,HHS,
Europe,Eastern Europe,Republic of Moldova,0.5,0.49,0.01,2011,15-55,ARQ,HHS,
,South-Eastern Europe,Albania,8.5,7.7,9.2,2014,15-64,ARQ,HHS,
,,Bulgaria,7.7,10.6,5,2016,15-64,ARQ,HHS,
,,Bulgaria,4.8,3,6.7,2012,15-64,ARQ,HHS,
,,Bulgaria,5.2,3.2,7.2,2008,15-64,ARQ,HHS,
,,Croatia,17.3,13.1,21.5,2015,15-64,ARQ,HHS,
,,Croatia,16.2,11.4,20.9,2011,15-64,ARQ,HHS,
,,Montenegro,11.6,12.5,10.6,2017,15-64,ARQ,HHS,
,,North Macedonia,10,,70,2008,15-64,ARQ,HHS,
,,Romania,0.7,0.8,0.6,2019,15-64,ARQ,HHS,
,,Romania,1.9,1.6,2.2,2016,15-64,ARQ,HHS,
,,Romania,0.7,1.1,0.4,2013,15-64,ARQ,HHS,
,,Romania,2.1,1.2,3,2010,,ARQ,HHS,
,,Türkiye,5.1,3,7.2,2011,15-64,ARQ,HHS,
,Western and Central Europe,Austria,8.9,8.1,9.8,2015,15-64,Government source,HHS,
,,Cyprus,3.9,2.8,5,2019,15-64,ARQ,HHS,
,,Cyprus,4,2.9,4.9,2016,15-64,ARQ,HHS,
,,Cyprus,4.2,3,5.3,2012,15-64,ARQ,HHS,
,,Czechia,12.5,10.1,14.9,2019,15-64,ARQ,HHS,
,,Czechia,12.8,10.8,14.8,2018,15-64,ARQ,HHS,
,,Czechia,19.5,17.3,21.9,2015,15-64,ARQ,HHS,
,,Czechia,18.3,15.5,21.2,2014,15-64,ARQ,HHS,
,,Czechia,12.3,12.6,12.1,2013,15-64,ARQ,HHS,
,,Estonia,0.49,0.88,0.23,2018,16-64,ARQ,HHS,
,,Finland,1.8,2.2,1.4,2014,15-64,ARQ,HHS,
,,Finland,2.3,2.2,2.4,2010,15-64,ARQ,HHS,
,,Germany,5.4,4.6,6.2,2012,18-64,ARQ,HHS,
,,Germany,4.3,3.7,4.9,2009,18-64,ARQ,HHS,
,,Greece,0.7,,1,2004,15-64,ARQ,HHS,
,,Greece,0.3,,0.1,1998,15-64,ARQ,HHS,
,,Hungary,7.5,4.8,9.8,2019,18-64,ARQ,HHS,
,,Hungary,9.52,6.07,12.29,2015,18-64,Government source,HHS,
,,Hungary,13.1,,19,2007,18-64,ARQ,HHS,
,,Ireland,4.9,5,4.8,2019,15-64,ARQ,HHS,
,,Ireland,6.1,4.4,7.7,2015,15-64,ARQ,HHS,Data for 2014/15.
,,Italy,13.8,10.4,17.1,2013,15-64,Government source,HHS,Data refers to 2013/14
,,Italy,3.85,2.94,4.63,2012,15-64,ARQ,HHS,
,,Latvia,4.9,3.4,6.4,2020,15-64,ARQ,HHS,
,,Latvia,7.2,4.3,10,2011,15-64,ARQ,HHS,
,,Latvia,6.5,5.1,7.8,2007,15-64,ARQ,HHS,
,,Lithuania,13.4,7.7,18.7,2016,15-64,ARQ,HHS,
,,Lithuania,11.1,6.5,15.5,2012,15-64,ARQ,HHS,
,,Lithuania,11.85,7.5,15.6,2008,15-64,ARQ,HHS,
,,Lithuania,11.2,7.3,14.8,2004,15-64,ARQ,HHS,
,,Malta,0.9,,1,2008,15-64,ARQ,HHS,
,,Netherlands,3.5,2.9,4.1,2020,15-64,ARQ,HHS,
,,Netherlands,10.2,7,13.3,2018,18+,ARQ,HHS,
,,Netherlands,10.5,7.5,13.4,2016,18+,ARQ,HHS,
,,Netherlands,0.5,0.2,0.8,2015,18+,ARQ,HHS,
,,Netherlands,0.5,0.2,0.8,2014,15-64,ARQ,HHS,
,,Netherlands,10.1,7.2,13.1,2009,15-64,ARQ,HHS,
,,Norway,4.3,3.1,5.5,2015,16-64,ARQ,HHS,Benzodiazepines
,,Norway,4.5,3.9,5.2,2014,16-64,ARQ,HHS,
,,Poland,3.4,2.5,4.3,2019,15-64,ARQ,HHS,Data refers to 2018/19
,,Poland,1.9,1.4,2.4,2016,15-64,ARQ,HHS,
,,Poland,2.2,1.4,3,2012,15-64,ARQ,HHS,
,,Poland,3.3,2.2,4.3,2010,15-64,ARQ,HHS,
,,Portugal,0.6,0.5,0.6,2017,15-64,ARQ,HHS,Data refers to 2016/17.
,,Portugal,0.6,0.6,0.6,2012,15-64,ARQ,HHS,
,,Portugal,12,6.3,17.5,2007,15-64,ARQ,HHS,Includes medical and non-medical use. Not comparable with data for later years
,,Slovakia,8.5,4.9,12.2,2019,15-64,ARQ,HHS,
,,Slovakia,4,,4.2,2006,15-64,ARQ,HHS,
,,Slovakia,6.1,,6.4,2004,15-64,ARQ,HHS,
,,Spain,1.3,1.5,1.2,2020,15-64,ARQ,HHS,Survey conducted between February and March 2020. 
,,Spain,1.3,1.2,1.4,2017,15-64,ARQ,HHS,
,,Spain,2.3,1.6,2.9,2015,15-64,ARQ,HHS,
,,Spain,1.2,1.1,1.3,2013,15-64,ARQ,HHS,
,,Spain,1.2,1.1,1.2,2011,15-64,ARQ,HHS,
,,Sweden,2.78,2.7,2.86,2013,17-64,ARQ,HHS,
,,Sweden,2,,2,2003,16-24,ARQ,HHS,
,,United Kingdom (England and Wales),0.47,0.53,0.42,2019,16-64,ARQ,HHS,Data refers to 2019/20. Office for National Statistics (ONS)
,,United Kingdom (England and Wales),0.4,0.57,0.23,2018,16-59,Government source,HHS,Data refers to 2018/19. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.6,0.75,0.46,2017,16-59,Government source,HHS,Data refers to 2017/18.
,,United Kingdom (England and Wales),0.4,0.5,0.4,2016,16-59,Government source,HHS,Data refers to 2016/17.
,,United Kingdom (England and Wales),0.4,0.5,0.3,2015,16-59,ARQ,HHS,Data refers to 2015/16.
,,United Kingdom (England and Wales),0.5,0.7,0.4,2014,16-59,ARQ,HHS,Data refers to 2014/15. Crime Survey for England and Wales.
,,United Kingdom (Northern Ireland),10.3,9.6,10.9,2014,15-64,Government source,HHS,Data refers to 2014/15. All Ireland Drug Prevalence Survey 2014/15. 
,,United Kingdom (Scotland),0.6,0.93,0.28,2014,16-64,Government source,HHS,Data refers to 2014/15
,,United Kingdom (Scotland),0.8,1.4,0.2,2012,16-64,Government source,HHS,Data refers to 2012/13
Oceania,Australia and New Zealand,Australia,1.8,,,2019,14+,ARQ,HHS,
,,Australia,1.6,,,2016,14+,ARQ,HHS,
,,Australia,1.6,1.8,1.5,2014,14+,Government source,HHS,
,,Australia,1.5,1.4,1.5,2010,14+,ARQ,HHS,
,,New Zealand,1.7,2.4,1.1,2008,16-64,Government source,HHS,"Includes prescription sedatives, kava, and GHB"
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Method: HHS=Household survey, I=Indirect estimates",,,,,,,,,,
